;;;;;;;;;34
4;;;15;18;22;;27;31;35
1;5;8;13;16;19;24;28;32;36
1;2;3;4;5;6;7;8;9;10
3;8;12;15;17;21;23;26;29;33
2;7;11;14;;20;25;;30;37
;6;10;;;;;;;
;;9;;;;;;;
